permanent_id,lake_name,date,cladoceran,copepod
131846593,South,1994-06-30,3.888,23.452
131846593,South,1994-07-27,6.11278,26.55989
131846593,South,1994-08-31,5.43744,24.71466
131846593,South,1995-06-19,1.26099,22.88185
131846593,South,1995-08-08,4.1,23.05
131846593,South,1995-09-13,2.8181,64.15323
131846593,South,1996-06-17,8.0625,37.46925
131846593,South,1996-07-15,12.32778,27.66563
131846593,South,1996-08-19,7.98388,16.48185
131846593,South,1997-07-14,10.83932,9.22192
131846593,South,1997-08-18,3.86611,19.68526
131846593,South,1998-07-13,2.969,6.09224
131846593,South,1998-08-17,3.25,15.6
131846593,South,1999-06-29,7.5543,26.32672
131846593,South,1999-08-23,5.6,39.2
131846593,South,2000-07-18,56.76964,24.14883
131846593,South,2000-08-21,5.78,19.61
131846593,South,2001-07-17,11.71929,9.72003
131846593,South,2001-08-07,6.165,10.215
131846593,South,2002-08-13,7.73522,5.14063
131846593,South,2002-09-10,4.73685,4.87855
131846593,South,2003-07-15,18.07865,6.09659
131846593,South,2003-08-12,6.42115,10.76487
131846593,South,2004-07-06,14.5,38.88888
131846593,South,2004-08-11,2.3926,15.34075
131846593,South,2005-07-19,10.48056,9.64444
131846593,South,2005-08-16,3.77778,9.52592
131846593,South,2006-07-18,14.42778,13.99997
131846593,South,2006-08-15,1.40741,8.76111
